Well API,Well Tier,Well Type,Operator Name,Field,Well Designation,CalGEM District,County,Lease,City,Latitude,Longitude,View in WellFinder,x,y
0410320351,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 12-16A,Northern,Tehama,Victor Ranch,Tehama County,39.8643837,-122.14323425,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320351&config=WellFinder,-183256.38790000044,207463.4271000009
0410320350,Tier 2,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Estate 18-12,Northern,Tehama,Victor Estate,Tehama County,39.8476181,-122.1364212,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320350&config=WellFinder,-182715.90479999967,205588.13199999928
0410320348,Tier 4,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 7-12,Northern,Tehama,Victor Ranch,Tehama County,39.86397552,-122.1302948,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320348&config=WellFinder,-182151.2042999994,207393.15550000034
0410320347,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 12-15,Northern,Tehama,Victor Ranch,Tehama County,39.86431885,-122.14596558,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320347&config=WellFinder,-183490.0538999997,207461.50709999911
0410320346,Tier 4,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 7-11,Northern,Tehama,Victor Ranch,Tehama County,39.8643837,-122.13652802,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320346&config=WellFinder,-182683.0680999998,207450.48479999974
0410320344,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 12-16,Northern,Tehama,Victor Ranch,Tehama County,39.86437988,-122.14334106,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320344&config=WellFinder,-183265.5287999995,207463.20930000022
0410320343,Tier 4,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 7-16,Northern,Tehama,Victor Ranch,Tehama County,39.86429977,-122.14048004,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320343&config=WellFinder,-183021.13939999975,207448.7848000005
0410320336,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 12-11,Northern,Tehama,Victor Ranch,Tehama County,39.85632706,-122.14476013,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320336&config=WellFinder,-183407.0828000009,206571.5348000005
0410320335,Tier 4,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 7-14,Northern,Tehama,Victor Ranch,Tehama County,39.8623085,-122.13973999,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320335&config=WellFinder,-182962.86439999938,207226.1883000005
0410320334,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 12-10,Northern,Tehama,Victor Ranch,Tehama County,39.86306,-122.14264679,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320334&config=WellFinder,-183209.48890000023,207315.26999999955
0410320333,Tier 4,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 7-15,Northern,Tehama,Victor Ranch,Tehama County,39.86413956,-122.13327789,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320333&config=WellFinder,-182405.82239999995,207417.11060000025
0410320329,Tier 4,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 18-11,Northern,Tehama,Victor Ranch,Tehama County,39.85232544,-122.12361145,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320329&config=WellFinder,-181608.8239999991,206086.36439999938
0410320328,Tier 4,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 7-7,Northern,Tehama,Victor Ranch,Tehama County,39.85941315,-122.13990784,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320328&config=WellFinder,-182984.4740999993,206904.92840000056
0410320327,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 7-9,Northern,Tehama,Victor Ranch,Tehama County,39.86094666,-122.13399506,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320327&config=WellFinder,-182475.11759999953,207063.85799999908
0410320326,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 12-9,Northern,Tehama,Victor Ranch,Tehama County,39.8611412,-122.14329529,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320326&config=WellFinder,-183269.7491999995,207103.40430000052
0410320325,Tier 4,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 7-8,Northern,Tehama,Victor Ranch,Tehama County,39.86284256,-122.13002777,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320325&config=WellFinder,-182131.2031999994,207266.80560000055
0410320324,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Estate 18-9,Northern,Tehama,Victor Estate,Tehama County,39.84120941,-122.13588715,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320324&config=WellFinder,-182686.27679999918,204875.28749999963
0410320323,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 18-7,Northern,Tehama,Victor Ranch,Tehama County,39.84976578,-122.12419891,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320323&config=WellFinder,-181665.42569999956,205803.18789999932
0410320321,Tier 2,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Estate 18-10,Northern,Tehama,Victor Estate,Tehama County,39.84827805,-122.14001465,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320321&config=WellFinder,-183021.5270000007,205668.3638000004
0410320320,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 19-5,Northern,Tehama,Victor Ranch,Tehama County,39.83967209,-122.12393188,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320320&config=WellFinder,-181667.7120999992,204681.56369999982
0410320319,Tier 2,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,George S. Reid Unit 10,Northern,Tehama,George S. Reid Unit,Tehama County,39.84885788,-122.15484619,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320319&config=WellFinder,-184288.29820000008,205761.4958999995
0410320318,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,George S. Reid Unit 9,Northern,Tehama,George S. Reid Unit,Tehama County,39.85440826,-122.14155579,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320318&config=WellFinder,-183137.9265999999,206352.22059999965
0410320317,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 18-8,Northern,Tehama,Victor Ranch,Tehama County,39.85149765,-122.13174438,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320317&config=WellFinder,-182306.29780000076,206010.03060000017
0410320315,Tier 2,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,George S. Reid Unit 11,Northern,Tehama,George S. Reid Unit,Tehama County,39.84847641,-122.1491394,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320315&config=WellFinder,-183801.27930000052,205708.04800000042
0410320313,Tier 2,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,George S. Reid Unit 7,Northern,Tehama,George S. Reid Unit,Tehama County,39.84472275,-122.14063263,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320313&config=WellFinder,-183083.28759999946,205274.6696000006
0410320312,Tier 2,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,George S. Reid Unit 6,Northern,Tehama,George S. Reid Unit,Tehama County,39.84852982,-122.14892578,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320312&config=WellFinder,-183782.8783999998,205713.56609999947
0410320311,Tier 2,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,DeCou 24-1,Northern,Tehama,DeCou,Tehama County,39.83578491,-122.14336395,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320311&config=WellFinder,-183339.2993999999,204287.21759999916
0410320310,Tier 3,Water Disposal,"Pioneer Exploration, LLC",Rice Creek Gas,Maria 24-2,Northern,Tehama,Maria,Tehama County,39.83395386,-122.14742279,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320310&config=WellFinder,-183691.03490000032,204091.6978999991
0410320309,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Estate 19-4,Northern,Tehama,Victor Estate,Tehama County,39.83491516,-122.13986969,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320309&config=WellFinder,-183042.6367000006,204183.86199999973
0410320308,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 18-6,Northern,Tehama,Victor Ranch,Tehama County,39.85403824,-122.13019562,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320308&config=WellFinder,-182167.52840000018,206289.2366000004
0410320303,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,NL&F 26-1,Northern,Tehama,NL&F,Tehama County,39.82368469,-122.16453552,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320303&config=WellFinder,-185180.66249999963,202984.38240000047
